14538 14092 13697 13160 12345
11777 12942 13263 12975 12484
11861 11247 10877 10746 10573
10279 9553 9219 8904 8438
8087 7517 7102 3202 3031
2822 2607 2400 2189 2584
3021 3016 3006 2959 2901
2847 2862 2822 2802 2547
2442 2366 2206 2079 1835
1641 313 301 291 281
276 277 325 369 378
369 354 333 328 321
323 309 286 272 255
242 232 215 205 326
326 325 320 314 311
346 354 353 340 321
298 291 282 291 290
276 262 258 246 220
189 167 996 954 896
864 842 853 993 1065
1120 1086 1008 908 864
840 812 801 749 713
666 626 604 547 514
2101 2026 2000 1954 1877
1853 1872 1819 1760 1721
1675 1635 1616 1623 1576
1590 1541 1529 1512 1485
1476 1453 1453 940 892
872 870 841 824 811
787 748 711 681 663
626 584 550 523 479
443 413 387 370 359
352 1677 1730 1768 1708
1451 1276 1657 1500 1414
1282 1107 949 871 882
885 779 709 746 733
689 658 630 613 786
778 762 733 689 666
709 734 714 680 650
616 599 587 594 586
552 524 515 500 496
484 471 268 267 264
259 260 261 275 281
279 274 271 265 267
270 269 266 254 244
240 231 220 202 192
2091 2060 2045 2004 1952
1920 1957 1921 1858 1788
1699 1616 1552 1500 1433
1394 1299 1237 1189 1143
1096 1032 972 364 355
350 348 337 332 364
386 381 363 356 351
357 362 378 382 364
337 312 289 267 239
215 1474 1370 1299 1211
1105 1016 1050 1025 953
865 782 711 658 634
640 557 495 471 444
394 370 333 308 1804
1714 1669 1589 1509 1473
1500 1476 1417 1342 1276
1206 1149 1111 1078 1041
1004 961 913 887 864
836 795
