"","total","motor","furniture","electronics","building","food","health","gas","clothing","hobby","generalgoods","misc","nonstore","resturants"
"2014",14538,3202,313,326,996,2101,940,1677,786,268,2091,364,1474,1804
"2013",14092,3031,301,326,954,2026,892,1730,778,267,2060,355,1370,1714
"2012",13697,2822,291,325,896,2000,872,1768,762,264,2045,350,1299,1669
"2011",13160,2607,281,320,864,1954,870,1708,733,259,2004,348,1211,1589
"2010",12345,2400,276,314,842,1877,841,1451,689,260,1952,337,1105,1509
"2009",11777,2189,277,311,853,1853,824,1276,666,261,1920,332,1016,1473
"2008",12942,2584,325,346,993,1872,811,1657,709,275,1957,364,1050,1500
"2007",13263,3021,369,354,1065,1819,787,1500,734,281,1921,386,1025,1476
"2006",12975,3016,378,353,1120,1760,748,1414,714,279,1858,381,953,1417
"2005",12484,3006,369,340,1086,1721,711,1282,680,274,1788,363,865,1342
"2004",11861,2959,354,321,1008,1675,681,1107,650,271,1699,356,782,1276
"2003",11247,2901,333,298,908,1635,663,949,616,265,1616,351,711,1206
"2002",10877,2847,328,291,864,1616,626,871,599,267,1552,357,658,1149
"2001",10746,2862,321,282,840,1623,584,882,587,270,1500,362,634,1111
"2000",10573,2822,323,291,812,1576,550,885,594,269,1433,378,640,1078
"1999",10279,2802,309,290,801,1590,523,779,586,266,1394,382,557,1041
"1998",9553,2547,286,276,749,1541,479,709,552,254,1299,364,495,1004
"1997",9219,2442,272,262,713,1529,443,746,524,244,1237,337,471,961
"1996",8904,2366,255,258,666,1512,413,733,515,240,1189,312,444,913
"1995",8438,2206,242,246,626,1485,387,689,500,231,1143,289,394,887
"1994",8087,2079,232,220,604,1476,370,658,496,220,1096,267,370,864
"1993",7517,1835,215,189,547,1453,359,630,484,202,1032,239,333,836
"1992",7102,1641,205,167,514,1453,352,613,471,192,972,215,308,795
